userName,score,at,content,sentiment_label,sentiment_score
Code Gold,5,2026-05-05 13:48:08,cukup bagus,Happy,0.9859397411346436
Joko Purnomo,5,2026-05-05 13:42:54,Terimakasih atas layanan mobile JKN,Happy,0.9610776901245117
walke Down,1,2026-05-05 13:28:23,apk hancur...buat daftar saja seperti tes masuk PNS,Anger,0.5032471418380737
Ahmad Sofyan,1,2026-05-05 13:28:22,pelayanan ngga kompeten,Anger,0.719153106212616
Humaedi Saputra,5,2026-05-05 13:26:31,Coba dulu ah..,Anger,0.34363293647766113
Hadi Yanto,5,2026-05-05 13:24:48,ist good terimkasih,Happy,0.9750441312789917
Gio Arfan arsyif,5,2026-05-05 13:24:48,"kocak banget dah asli nih apk nya gjelas (aku kasih bintang 5) biar seneng aja, lagian juga nih apk ny cuma bikin otak belibet sama buang"" waktu gw doang mending apus aja nih aplikasi nya!!!",Anger,0.6727950572967529
Erny Wati,5,2026-05-05 13:24:22,mudah digunakan,Happy,0.9633491039276123
caselya,1,2026-05-05 13:20:41,aplikasi aneh ga niat buat,Fear,0.41057175397872925
sugiono boiler,5,2026-05-05 13:18:42,tolong bantu saya biar bisa download Tampa harus menghapus aplikasi yang lain terimakasih,Happy,0.6385402083396912
nur hamilah,5,2026-05-05 13:16:22,aplikasi bagus bisa membantu,Happy,0.9828192591667175
Tri sulistyaningsih Sulistyaningsih,5,2026-05-05 13:14:05,bikin pusing,Sadness,0.6015158295631409
Adryan (Ryan),1,2026-05-05 12:57:05,sms untuk registrasi gak masuk-masuk,Fear,0.7536427974700928
Rock Star,1,2026-05-05 12:55:58,"apk nya ribet harus masukin mulu akun no kk sm pw, nge screenshot data pribadi (PRIBADI!) aja di blokir akses udh kyk fitur skali liat di wangsap, udh kyk mbanking juga sih kyknya",Anger,0.6250094771385193
Terlahir Tampan,1,2026-05-05 12:55:42,"UPDATE MALAH KELUAR AKUNYA SENDIRI, PAS MASUK MALAH GABISA, APPS KONYOL",Anger,0.9310408234596252
Tri tomo,5,2026-05-05 12:54:10,cepat... akses oke.... update oke...,Happy,0.9870733022689819
rino rino (Rinorin),1,2026-05-05 12:51:51,"ini aplikasi nyusahin orang, kode OTP lewat SMS lemot banget kirimnya, pas dapet OTP aplikasi ngulang lagi, begitu terus, kalau pakai WA saja kenapa sih ribet banget. Hai pengembang baca apa itu comment biar di perbaiki dengan yang lebih baik.",Anger,0.47022920846939087
Sukriya Zarta,3,2026-05-05 12:51:27,"logout tanpa perintah, jd harus login masukin kode captcha berkali-kali. sangat melelahkan",Sadness,0.6067623496055603
Yusril Paputungan,4,2026-05-05 12:48:47,sangat membantu,Happy,0.963844895362854
youciang njo,1,2026-05-05 12:48:14,cukup bintang 1 sangat jelek sekarang mobile jkn mau ngisi skrening data kesehatan sangat lemot,Anger,0.48503854870796204
WAHYU EFFENDY U N WIJAYA,5,2026-05-05 12:45:38,baik,Happy,0.951426088809967
Surya Nurjaman,5,2026-05-05 12:42:34,sangat membantu untuk pendaftaran ke paskes secara online,Happy,0.9560562968254089
Aris Sandi,5,2026-05-05 12:33:46,"untuk tambahan update kedepan nya ,tolong tambahkan fitur ganti akun 1 ke akun yg lain ,karna menurut saya sangat ribet, kalau 1 keluarga dan masih 1 Kartu Keluarga harus keluar atau masuk terlebih dahulu untuk berganti akun .",Fear,0.7145806550979614
Mira Susanti,5,2026-05-05 12:29:36,baik,Happy,0.951426088809967
Wiki Wijaya,5,2026-05-05 12:18:48,Perbaiki & Fokus ke pelayanan masyarakat. Semoga masyarakat Indonesia sehat selalu,Happy,0.9450992345809937
Katamso Mernek,5,2026-05-05 12:17:32,pelayanan bagus,Happy,0.960965633392334
Rizal Tri Mulya Arasyd,1,2026-05-05 12:16:27,ini pulsanya harus ngisi 120 triliun kayaknya,Fear,0.4736015200614929
Yudha Agiansyah,5,2026-05-05 12:13:21,ok,Sadness,0.3796479403972626
Rendi saputra,3,2026-05-05 12:07:05,vermuk nya waktu mau daftar gak bisa bisa kenapa ya,Fear,0.7715281248092651
Marzeana Putri,1,2026-05-05 12:06:42,"ini yang buat aplikasi bodoh atau gmna eh verifikasi wajah ga bisa"" trus kalau nk verifikasi pake sms harus ada pulsa , udah kaya belum hah orang nak berobat aja ribet nya minta ampun apa ga bisa bayar programer ya buat aplikasi yang lebih baguss lagi hah stupid",Anger,0.7910370826721191
Yayan Hendrayana,1,2026-05-05 11:59:57,"Tagihan udah d bayar.... mash ga bisa daftar d faskes 1. Klo jatoh tempo harusnya ada yang ngingetin. tau tau ada tagihan 300 ribu dan akun di tahan, sampe ga bisa berobat. Layanan nya super buruk",Anger,0.4630647599697113
Suka Suka,1,2026-05-05 11:48:19,terlalu rumit dan sistem sering bermasalah,Sadness,0.46452218294143677
nailin naf,1,2026-05-05 11:44:23,"tolong ya aplikasi di perbaiki,mau daftar udah masukin nomer hp nunggu kode verifikasi tp nggk ada mucul sam sekali....wa PANDAWA juga belibet",Fear,0.6382982134819031
J MAHFUL,5,2026-05-05 11:42:58,Baik,Happy,0.8020395040512085
Camp Traveller Enjoy,1,2026-05-05 11:40:16,"This is the number one BPJS health application in the middle to upper class. Hopefully it will collaborate with the Satu Sehat application, the quality of the bugs will be improved, the main menu background must be better. ➡️➡️➡️➡️➡️➡️➡️➡️➡️➡️➡️➡️➡️ ini adalah aplikasi BPJS kesehatan nomor Satu di kelas Menengah ke atas, Semoga Bekerja sama dengan Aplikasi Satu sehat,bugnya di tingkatkan kualitas nya,latar Belakang Menu Utama harus lebih Bagus.",Happy,0.5132188200950623
Nurlaila Diniah,1,2026-05-05 11:37:19,berarti bukan saya aja ya klo mau msuk gak dpet otp SMS-nya smpe 3 menit gak masuk2 trus jga chat d wa Pandawa nya ko lelet ya blsnya biasanya gak pernah ini lemot bngt bls wa jga Pandawa nya,Fear,0.7428304553031921
Mamah Sulis,5,2026-05-05 11:29:39,sangat membantu,Happy,0.963844895362854
Eli Sukiswanto,1,2026-05-05 11:27:35,kurang maksimal terlalu ribet.padahal sampai di RS daftar lagi.juga baru dipakai udah disuruh update lalu diupdate suruh kosongkan memori padahal udah saya kosongkan.apk terlalu ribet,Sadness,0.6140347719192505
Iwan MTW,5,2026-05-05 11:25:37,mantappppp,Happy,0.9023018479347229
Zela Kurniasari,5,2026-05-05 11:15:01,oke,Fear,0.4615698456764221
BAMS 212,5,2026-05-05 11:11:26,sangat sangat amat membantu/ menolong bagi orang yg tidak mampu .trimakasih,Happy,0.6611273884773254
Algifary Algifary,5,2026-05-05 11:06:22,sangat membantu,Happy,0.963844895362854
JHY VERNANDO DWI PUTRA HOWU-HOWU,5,2026-05-05 11:03:54,Yg terbaik untuk Indonesia,Happy,0.8881153464317322
Pikiy,1,2026-05-05 11:03:03,ini aplikasi bisa di gunakan tidak ya minta kode verifikasi sms kok gak ada kiriman,Fear,0.88960862159729
Duwex Zipho,1,2026-05-05 11:03:01,"belibet, ngak fungsi,",Anger,0.6682153940200806
Rudi Hermawanto,5,2026-05-05 10:56:47,good,Happy,0.8991253972053528
Reformasi,1,2026-05-05 10:54:43,"ribet banget, nunggu sms sampe 24 jam ga muncul2",Anger,0.6893482804298401
Ibukarni,4,2026-05-05 10:49:00,masih cari2 kekurangannya dan kelebihannya,Sadness,0.4983691871166229
giy guitaris,5,2026-05-05 10:45:59,bisa digunakan,Sadness,0.47982528805732727
Glynn Maru,1,2026-05-05 10:44:50,gajelas apk nya ga bisa dibuka force close Mulu,Anger,0.6103655099868774
Bintang Salsabila Imana,1,2026-05-05 10:21:48,"aplikasi ribet, sudah verifikasi email dan nomor telepon pas sudah masuk akunya harus verifikasi lagi pas di masukin nomor telpon yang terdaftar gak bisa. harus ubah nomor telpon lagi ke pandawa. Mohon diperbaiki lagii, waktu jadi terbuang sia sia buat daftar doanggg",Sadness,0.5094038844108582
Sofyan Heru,2,2026-05-05 10:18:05,baru mgg kmren d update skrng mnt d update lg.,Fear,0.5329189896583557
Dian dianto,1,2026-05-05 10:11:24,"Setiap mau daftar selalu ganguan, permintaan anda belum bisa di proses, berulang kali selalu seperti ini 😇😇😇😇😇😇😇😇😇",Anger,0.36488276720046997
Paris Ramadasah,1,2026-05-05 10:03:59,"Biasa lah apk pemerintah, biaya nya di korupsi semua jadi aplikasi nya jelek",Anger,0.4978325664997101
Tauhiduluhiyah Tauhid,5,2026-05-05 10:00:41,mantap...ga bisa masuk2...Ampe ganti hp jga sama aj..,Fear,0.3639141917228699
Branco.Channel Official Team,5,2026-05-05 09:56:44,oke,Fear,0.4615698456764221
RIKy yakub Lubis,5,2026-05-05 09:55:53,baik,Happy,0.951426088809967
Azka Rabbani,5,2026-05-05 09:51:19,bagus sangat membantu,Happy,0.9615126848220825
Siti Nurzanah,5,2026-05-05 09:26:50,baik,Happy,0.951426088809967
Ayatea 90,5,2026-05-05 09:25:48,pindah faskes,Fear,0.44137874245643616
Reyka Rika,1,2026-05-05 09:20:46,"udah bayar tagihan tapi masih ada tagihan di jkn nya gimana sih , padahal cuma telat 1 hari gimana kalo telat nya berbulan bulan , tolong dong di perbaiki padahal udah bayar lho gimana sih , orang tua saya mau kontrol hari ini jadi susah gara gara ini padahal biasanya lancar , kalo lagi ada maintenance bilang dong , nyusahin aja , makin kesini malah makin ribet bukan nya mempermudah malah mempersulit , udah pengaduan tanggepan nya sama aja",Fear,0.4791453182697296
FANI RIZKI MAULIDAH,5,2026-05-05 09:20:41,tolong saya enggak bisa lagi ambil nomer antrian online di faskes tingkat lanjut lagi sekarang,Fear,0.5958786010742188
Fakih Sb,5,2026-05-05 09:19:24,baik,Happy,0.951426088809967
nurdian dian,5,2026-05-05 09:12:15,terimakasih atas pelayanan yang baik,Happy,0.970140278339386
Sitti Hajar,5,2026-05-05 09:04:26,sangat membantu dan mudah untuk dipakai,Happy,0.9741146564483643
Nur Yadi,4,2026-05-05 09:03:38,baik,Happy,0.951426088809967
Muhamad Sulhi,5,2026-05-05 09:00:55,ok,Sadness,0.3796479403972626
irwan s,4,2026-05-05 09:00:19,Sangat bermanfaat.,Happy,0.960721492767334
Yhundha Maryati,5,2026-05-05 08:59:27,best,Happy,0.61163729429245
365 degree channel,1,2026-05-05 08:50:16,udah daftar online k rumah sakit bisa.pas k rs mau buka aplikasinya malah gag bisa tulisannya nik salah.padahal registrasi ama mau log in liat ktp fisik biar gag salah malah gag bisa katanya tulisannya salah.ngapain ribet2 pake nik kalo malah gag bisa masuk.gag jelas aplikasinya,Fear,0.6196842193603516
Cimucuk Cimucuk,1,2026-05-05 08:46:18,"aplikasi bodong, minta kode verifikasi otp ga masuk"" tu kodenya dan ga ada solusi mau dari Pandawa call center ini yg jalanin aplikasi kayaknya bot",Anger,0.5013645887374878
satriapinasty nayaraniswara,1,2026-05-05 08:43:32,APLIKASI GAK GUNA! Gak mempermudah malah mempersulit. Mau ambil antrean kontrol poli aja pake aplikasi gak jelas. Registrasi ribet. Pengembang aplikasi gak kompeten jadinya ya gini. Pokok yang berbau Pemerintah Indonesia pasti ribet dan gak jelas.,Anger,0.8682848811149597
